-0.02,51.62,-0.25,0.44,14680754

-0.08,51.74,-0.26,0.44,14680855

-0.02,51.74,-0.24,0.44,14680956

-0.02,52.12,-0.24,0.38,14681057

-0.11,52.24,-0.24,0.38,14681158

-0.08,52.12,-0.24,0.38,14681259

-0.11,51.80,-0.25,0.38,14681360

-0.08,51.50,-0.25,0.38,14681461

0.02,51.15,-0.22,0.41,14681562

0.02,39.80,-0.21,0.41,14681663

0.08,39.77,-0.22,0.41,14681764

0.23,50.41,-0.20,0.41,14681865

0.23,32.50,-0.20,0.41,14681966

0.44,34.36,-0.22,0.41,14682067

0.32,35.43,-0.27,0.41,14682168

0.47,36.34,-0.25,0.41,14682269

0.79,36.76,-0.12,0.41,14682370

1.89,37.88,-0.05,0.41,14682471

2.48,38.41,0.08,0.32,14682572

3.13,39.24,0.08,0.32,14682673

3.90,39.74,0.09,0.32,14682774

4.87,40.30,0.09,0.32,14682875

5.96,40.78,0.11,0.32,14682976

7.94,39.09,0.11,0.41,14683077

8.68,53.13,0.18,0.41,14683178

9.54,53.16,0.14,0.41,14683279

10.81,53.01,0.13,0.41,14683380

12.38,52.77,0.25,0.41,14683481

13.41,44.03,0.32,0.38,14683582

14.30,44.65,0.24,0.38,14683683

15.01,44.73,0.24,0.38,14683784

15.54,45.00,0.20,0.38,14683885

16.45,45.30,0.20,0.41,14683986

17.81,45.77,0.27,0.41,14684087

19.06,46.42,-0.41,0.41,14684188

17.49,45.53,-1.94,0.41,14684289

6.02,42.16,-1.66,0.41,14684390

2.00,40.75,-1.66,0.44,14684491

1.71,51.15,-1.34,0.44,14684592

1.41,51.47,-1.34,0.44,14684693

1.21,51.74,-1.23,0.44,14684794

0.88,51.71,-1.06,0.44,14684895

0.62,51.77,-0.76,0.41,14684996

0.47,51.80,-0.76,0.41,14685097

0.26,51.83,-0.63,0.41,14685198

0.20,51.83,-0.52,0.41,14685299

0.05,51.38,-0.43,0.41,14685400

0.00,39.71,-0.35,0.41,14685501

-0.02,39.74,-0.28,0.41,14685602

-0.02,39.86,-0.28,0.41,14685703

-0.08,40.01,-0.27,0.41,14685804

-0.05,50.65,-0.27,0.41,14685905

-0.05,38.41,-0.25,0.41,14686006

-0.05,50.85,-0.25,0.41,14686107

-0.08,51.21,-0.25,0.41,14686208

-0.08,51.41,-0.25,0.41,14686309

-0.14,51.62,-0.21,0.41,14686410

-0.08,32.68,-0.24,0.47,14686511

-0.08,34.10,-0.24,0.47,14686612

-0.11,35.07,-0.24,0.47,14686713

-0.08,36.14,-0.24,0.47,14686814

-0.11,36.73,-0.25,0.47,14686915

-0.14,37.08,-0.26,0.35,14687016

-0.05,37.67,-0.24,0.35,14687117

0.02,51.65,-0.22,0.35,14687218

0.00,51.56,-0.22,0.35,14687319

0.00,38.97,-0.27,0.35,14687420

0.14,38.97,-0.22,0.41,14687521

0.14,39.03,-0.22,0.41,14687622

0.17,39.30,-0.22,0.41,14687723

0.00,39.47,-0.22,0.41,14687824

0.32,39.62,-0.15,0.41,14687925

0.41,39.80,-0.25,0.41,14688026

0.32,39.59,-0.21,0.41,14688127

0.85,39.98,-0.10,0.41,14688228

2.09,40.39,0.03,0.41,14688329

2.68,40.89,0.10,0.41,14688430

4.16,40.13,0.10,0.41,14688531

5.23,52.36,0.11,0.41,14688632

6.47,52.60,0.13,0.41,14688733

7.18,52.83,0.13,0.41,14688834

8.21,53.10,0.13,0.41,14688935

8.98,39.56,0.11,0.41,14689036

9.95,53.01,0.09,0.41,14689137

11.37,52.98,0.19,0.41,14689238

12.88,52.57,0.25,0.41,14689339

13.85,34.33,0.30,0.44,14689440

14.56,44.59,0.25,0.44,14689541

15.24,44.76,0.30,0.44,14689642

15.72,44.82,0.23,0.44,14689743

18.29,45.41,0.23,0.44,14689844

19.35,53.63,0.35,0.38,14689945

13.97,50.47,-1.76,0.38,14690046

4.66,51.65,-1.48,0.38,14690147

2.33,51.12,-1.48,0.38,14690248

1.89,51.15,-1.35,0.38,14690349

1.62,51.47,-1.35,0.35,14690450

1.35,51.65,-1.25,0.35,14690551

1.06,51.65,-1.13,0.35,14690652

0.76,51.74,-0.94,0.35,14690753

0.59,51.68,-0.77,0.35,14690854

0.38,51.74,-0.67,0.38,14690955

0.26,32.80,-0.46,0.38,14691056

0.14,34.45,-0.37,0.38,14691157

-0.02,35.60,-0.32,0.38,14691258

0.02,36.70,-0.30,0.38,14691359

-0.05,37.29,-0.30,0.38,14691460

-0.05,37.76,-0.26,0.38,14691561

-0.08,37.97,-0.25,0.38,14691662

-0.11,38.03,-0.25,0.38,14691763

-0.14,38.26,-0.25,0.38,14691864

-0.05,38.32,-0.25,0.44,14691965

-0.08,39.06,-0.25,0.44,14692066

-0.08,39.24,-0.25,0.44,14692167

-0.11,39.09,-0.25,0.44,14692268

